last_name, first_name,pitch_hand,active_spin_fourseam,active_spin_sinker,active_spin_cutter,active_spin_changeup,active_spin_fastball,active_spin_slider,active_spin_curve
Antone, Tejay,R,,85.4,,98.9,,41,81
Cobb, Alex,R,,97.3,,,,,65.7
Singer, Brady,R,,87.2,,97.1,,34.7,
Weber, Ryan,R,,93.2,43.4,96.2,,,82.6
Yarbrough, Ryan,L,,97.6,43.1,94.8,,,78.3
Manaea, Sean,L,,92.2,,84,,48.8,39.7
Davies, Zach,R,,98,80.2,98.6,,,69.9
Gonzales, Marco,L,,99.2,60.3,99.4,,,87.7
Sheffield, Justus,L,,87.5,,83,,34.7,
McCullers Jr., Lance,R,,79.4,49,89.4,,,71.5
Matz, Steven,L,,99.4,,85.4,,39.9,86.1
Arrieta, Jake,R,,85.8,,90.8,,44.4,76.5
Kuhl, Chad,R,99.6,98.4,,92.8,,30.3,71.5
Anderson, Ian,R,99.6,,,98.2,,,62.1
Paddack, Chris,R,99.5,,43.3,94.9,,,94.5
Mahle, Tyler,R,99.5,,,,,28.3,
Giolito, Lucas,R,99.4,,,99,,28.7,89.5
Richards, Trevor,R,99.4,,,79,,,23.9
Heaney, Andrew,L,99.3,,,99.5,,,39.4
Anderson, Tyler,L,99.3,98.5,47.9,96.1,,,69.4
Holland, Derek,L,99.2,99.2,,97.8,,,12.4
Ponce de Leon, Daniel,R,98.5,,39.6,98.4,,,87
McKenzie, Triston,R,98.4,,,90.3,,44.1,58.5
Plesac, Zach,R,98.4,,,99.1,,41.5,51.8
García, Deivi,R,98.2,,,98.5,,35.5,83.7
Cole, Gerrit,R,98.1,,,98.9,,30.8,69.8
Gonsolin, Tony,R,98.1,,,,,25.3,70.7
Bieber, Shane,R,98,,46,94.7,,27.2,89
Weaver, Luke,R,97.9,,58.8,89.4,,,68.5
Milone, Tommy,L,97.9,98.4,,97.9,,32,33.7
Wacha, Michael,R,97.8,,53.3,90.8,,,
Eovaldi, Nathan,R,97.7,,50.6,,,,79.9
Nola, Aaron,R,97.6,96.1,,99.1,,,86.4
Skubal, Tarik,L,97.6,,,99.3,,20.1,71.7
Duffy, Danny,L,97.4,94.6,,91.8,,31.5,91
Canning, Griffin,R,97.4,,45,98.6,,27.6,40.8
Gausman, Kevin,R,97.3,,,92.2,,23.3,
Gray, Jon,R,97.2,,,95.2,,31.5,71
Walker, Taijuan,R,97.2,96.1,,,,33.6,94.4
Fiers, Mike,R,97.1,94.5,,88.4,,59.5,90.1
Peterson, David,L,97,96.5,,99,,24.6,64.5
Kikuchi, Yusei,L,97,,58.6,89.3,,26.2,
López, Jorge,R,96.8,96,,98.9,,,70.4
Ryu, Hyun Jin,L,96.6,94.6,48.1,99.4,,,86.7
Pérez, Martín,L,96.5,96.4,61.8,99.6,,,45.5
Clevinger, Mike,R,96.4,,40.7,99.2,,38.2,64.9
Tanaka, Masahiro,R,96.4,93.1,,,,13.6,57.9
Berríos, José,R,96.3,97.6,,95.1,,,49.2
Ray, Robbie,L,96,96.2,,89,,33.3,20.9
Hill, Rich,L,95.8,93.2,45.5,,,84.2,93.2
Anderson, Chase,R,95.7,95.7,45.4,99.6,,,96
Luzardo, Jesús,L,95.7,94.4,,99.1,,,18.3
Lyles, Jordan,R,95.7,91.8,,98.9,,34.9,77.9
