last_name, first_name,player_id,year,p_era,xba,fastball_avg_spin,breaking_avg_spin,
Perez, Oliver,424144,2020,2.00,.223,2123,2193,
Wainwright, Adam,425794,2020,3.15,.265,2253,2791,
Greinke, Zack,425844,2020,4.03,.249,2327,2425,
Petit, Yusmeiro,433589,2020,1.66,.230,2134,2000,
Sanchez, Anibal,434671,2020,6.62,.284,2153,2027,
Rondon, Hector,444468,2020,7.65,.262,2034,2290,
Kintzler, Brandon,445213,2020,2.22,.258,1941,2322,
Jansen, Kenley,445276,2020,3.33,.188,2449,2334,
Chavez, Jesse,445926,2020,6.88,.299,2192,2268,
Detwiler, Ross,446321,2020,3.20,.238,2193,2160,
Hill, Rich,448179,2020,3.03,.257,2390,2842,
Guerra, Junior,448855,2020,3.04,.230,2446,2720,
Morton, Charlie,450203,2020,4.74,.237,2287,2887,
Lester, Jon,452657,2020,5.16,.265,2251,2570,
Hughes, Jared,453172,2020,4.84,.228,2026,2050,
Kennedy, Ian,453178,2020,9.00,.270,2367,2568,
Miller, Andrew,453192,2020,2.77,.138,2106,2605,
Watson, Tony,453265,2020,2.50,.236,2283,2302,
Bard, Daniel,453268,2020,3.65,.228,2671,2815,
LeBlanc, Wade,453281,2020,8.06,.256,1908,2269,
Parker, Blake,453284,2020,2.81,.192,1999,2159,
Scherzer, Max,453286,2020,3.74,.250,2489,2511,
Melancon, Mark,453343,2020,2.78,.249,2341,2647,
Arrieta, Jake,453562,2020,5.08,.286,2097,2310,
Martin, Chris,455119,2020,1.00,.232,2151,2536,
Cueto, Johnny,456501,2020,5.40,.259,2198,2301,
Guerra, Javy,457915,2020,4.02,.253,2202,2309,
Happ, J.A.,457918,2020,3.47,.221,2306,2256,
Lindblom, Josh,458676,2020,5.16,.245,2509,2509,
Wilson, Justin,458677,2020,3.66,.218,2317,2643,
Lynn, Lance,458681,2020,3.32,.208,2486,2618,
Tomlin, Josh,458708,2020,4.76,.264,2504,2712,
McGee, Jake,459429,2020,2.66,.185,2272,2025,
Clippard, Tyler,461325,2020,2.77,.210,2335,2322,
Gonzalez, Gio,461829,2020,4.83,.273,2194,2688,
Soria, Joakim,465657,2020,2.82,.202,2271,2732,
Nova, Ivan,467100,2020,8.53,.311,2179,2213,
Carrasco, Carlos,471911,2020,2.91,.221,2458,2818,
Anderson, Brett,474463,2020,4.21,.271,2015,2469,
Phelps, David,475479,2020,6.53,.221,2367,2602,
Betances, Dellin,476454,2020,7.71,.253,2194,2510,
Stock, Robert,476594,2020,4.73,.247,2218,2734,
Kershaw, Clayton,477132,2020,2.16,.215,2484,2633,
Hunter, Tommy,488984,2020,4.01,.293,2499,2873,
Miley, Wade,489119,2020,5.65,.284,2305,2482,
Romo, Sergio,489265,2020,4.05,.221,2318,2913,
Stammen, Craig,489334,2020,5.63,.250,2149,2312,
Valdez, Cesar,491624,2020,1.26,.237,2131,2433,
Ottavino, Adam,493603,2020,5.89,.220,2262,2862,
Pineda, Michael,501381,2020,3.38,.231,1942,2019,
Harris, Will,501789,2020,3.06,.264,2416,2564,
Minor, Mike,501985,2020,5.56,.235,2586,2737,
Jeffress, Jeremy,502026,2020,1.54,.221,2031,2401,
Gibson, Kyle,502043,2020,5.35,.283,2171,2462,
Britton, Zack,502154,2020,1.89,.185,2001,2555,
Cobb, Alex,502171,2020,4.30,.307,2090,2579,
Samardzija, Jeff,502188,2020,9.72,.280,2578,2586,
Boxberger, Brad,502202,2020,3.00,.244,2483,2432,
Cahill, Trevor,502239,2020,3.24,.216,2168,2982,
Anderson, Chase,502624,2020,7.22,.289,2272,2102,
Holland, Derek,502706,2020,6.86,.274,2438,2227,
O'Day, Darren,503285,2020,1.10,.183,2287,2267,
Dolis, Rafael,503569,2020,1.50,.171,2235,2472,
Darvish, Yu,506433,2020,2.01,.227,2698,2768,
Colome, Alex,517008,2020,0.81,.207,2136,,
Alexander, Scott,518397,2020,2.92,.251,2191,2232,
Brasier, Ryan,518489,2020,3.96,.248,2254,2426,
Bumgarner, Madison,518516,2020,6.48,.303,2441,2493,
