last_name, first_name,player_id,year,n_fastball_formatted,fastball_avg_speed,fastball_avg_spin,
Wainwright, Adam,425794,2021,59.7,87.5,2295,
Greinke, Zack,425844,2021,45.9,89,2224,
Santana, Ervin,429722,2021,45.2,93.3,2176,
Kazmir, Scott,431148,2021,54.6,92.4,2152,
Petit, Yusmeiro,433589,2021,68.8,86.5,2136,
Kintzler, Brandon,445213,2021,75.1,92,1969,
Jansen, Kenley,445276,2021,84.6,92.9,2571,
Chavez, Jesse,445926,2021,79.7,90.1,2133,
Detwiler, Ross,446321,2021,87.8,88.9,2099,
Kluber, Corey,446372,2021,56.9,89.2,2289,
Hill, Rich,448179,2021,56.5,87.7,2337,
Doolittle, Sean,448281,2021,81.1,93.1,2261,
Guerra, Junior,448855,2021,56,92.8,2199,
Morton, Charlie,450203,2021,58,94.1,2301,
Davis, Wade,451584,2021,78.8,90.9,2509,
Albers, Andrew,452027,2021,63.8,88.3,2112,
Lester, Jon,452657,2021,73.4,87.6,2189,
Kennedy, Ian,453178,2021,86.3,93.7,2418,
Miller, Andrew,453192,2021,35.3,88.4,1918,
Watson, Tony,453265,2021,42.6,92.4,2304,
Bard, Daniel,453268,2021,48.5,97.4,2687,
LeBlanc, Wade,453281,2021,66.9,86.5,1971,
Parker, Blake,453284,2021,57.4,90.3,2016,
Scherzer, Max,453286,2021,55.7,93.6,2442,
Melancon, Mark,453343,2021,65.5,92,2255,
Arrieta, Jake,453562,2021,53.3,91.4,2084,
Martin, Chris,455119,2021,71.8,93.8,2096,
Price, David,456034,2021,73,91.8,1995,
Cueto, Johnny,456501,2021,51.4,91.7,2216,
Happ, J.A.,457918,2021,71.5,90.5,2244,
Lindblom, Josh,458676,2021,58.2,89.1,2546,
Wilson, Justin,458677,2021,93.9,92,2289,
Lynn, Lance,458681,2021,92.3,91.9,2414,
Tomlin, Josh,458708,2021,69.7,86.9,2478,
McGee, Jake,459429,2021,90.1,94.9,2143,
Clippard, Tyler,461325,2021,43.2,88.8,2216,
Swarzak, Anthony,461872,2021,44.2,93,2272,
Soria, Joakim,465657,2021,60,92.8,2336,
Chacin, Jhoulys,468504,2021,41.6,92.8,2219,
Carrasco, Carlos,471911,2021,50.4,93.2,2228,
Abad, Fernando,472551,2021,58.5,91.4,2156,
Garcia, Luis,472610,2021,59.5,98.3,2176,
Anderson, Brett,474463,2021,53.8,88.6,1759,
Luetge, Lucas,476595,2021,62,88.3,2554,
Kershaw, Clayton,477132,2021,36.7,90.6,2505,
Buchter, Ryan,488748,2021,62.6,89.8,2216,
Miley, Wade,489119,2021,64.1,86.6,2263,
Romo, Sergio,489265,2021,33.6,85.5,2161,
Stammen, Craig,489334,2021,70,91.3,2231,
Valdez, Cesar,491624,2021,19.9,85.1,2067,
Ottavino, Adam,493603,2021,49.8,94.7,2362,
Guerra, Deolis,500610,2021,45.5,90.7,2298,
Quintana, Jose,500779,2021,58.6,91.6,2049,
Pineda, Michael,501381,2021,54.2,90.6,1946,
Alvarez, Jose,501625,2021,61.8,90.9,2174,
Smith, Joe,501925,2021,62.9,86.3,1924,
Minor, Mike,501985,2021,42.8,90.9,2544,
Archer, Chris,502042,2021,45,92,2120,
Gibson, Kyle,502043,2021,61.6,91.7,2224,
Robertson, David,502085,2021,74,92.1,2557,
Britton, Zack,502154,2021,83.8,92.6,1953,
Cobb, Alex,502171,2021,46.7,92.7,2065,
Espino, Paolo,502179,2021,55.2,89,2216,
Boxberger, Brad,502202,2021,55.9,93.5,2383,
Cahill, Trevor,502239,2021,54.4,88.2,2195,
Santiago, Hector,502327,2021,67,90.8,2042,
Miller, Justin,502522,2021,72.2,92.9,2271,
Anderson, Chase,502624,2021,61.6,89.7,2182,
Holland, Derek,502706,2021,56.6,93,2350,
Peralta, Wily,503449,2021,54.9,93.9,1831,
Dolis, Rafael,503569,2021,65.1,94.8,2277,
Darvish, Yu,506433,2021,64.3,90.2,2636,
Colome, Alex,517008,2021,100,90.7,2134,
Alexander, Scott,518397,2021,74.1,92.2,2188,
Brasier, Ryan,518489,2021,68.5,95.1,2135,
Bumgarner, Madison,518516,2021,70.7,88.2,2347,
Cishek, Steve,518553,2021,60.8,90.1,2331,
Diekman, Jake,518617,2021,66.9,95.3,2207,
Duffy, Danny,518633,2021,55.6,93.7,2260,
Harvey, Matt,518774,2021,54.8,93.2,2149,
